# source: https://api.nasdaq.com/api/screener/stocks?tableonly=true&download=true
# fetched: 2026-09-23T10:34:16-04:00
# rule: market cap 300M-10B, price >= 3.0; no volume rule
ticker,cap_m,sector,industry
BIOA,375,Health Care,Biotechnology: Pharmaceutical Preparations
BIPC,4386,Consumer Discretionary,Marine Transportation
BIPH,7128,Consumer Discretionary,Marine Transportation
BIRK,5135,Consumer Discretionary,Shoe Manufacturing
BJRI,1288,Consumer Discretionary,Restaurants
BKD,2697,Health Care,Hospital/Nursing Management
BKE,2151,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,5422,Utilities,Electric Utilities: Central
BKKT,424,Finance,Finance: Consumer Services
BKSY,937,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,1431,Finance,Investment Bankers/Brokers/Service
BKU,3119,Finance,Savings Institutions
BKV,2526,Energy,Oil & Gas Production
BL,1607,Technology,Computer Software: Prepackaged Software
BLBD,1843,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLCO,6154,Health Care,Ophthalmic Goods
BLDR,6456,Consumer Discretionary,RETAIL: Building Materials
BLFS,1850,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLKB,1924,Technology,Computer Software: Prepackaged Software
BLLN,5468,Health Care,Medical Specialities
BLMN,727,Consumer Discretionary,Restaurants
BLSH,6496,Finance,Finance: Consumer Services
BLSM,786,Health Care,Biotechnology: Pharmaceutical Preparations
BLTE,6967,Health Care,Biotechnology: Pharmaceutical Preparations
BLW,421,Consumer Discretionary,Other Consumer Services
BLX,2069,Finance,Commercial Banks
BLZE,878,Technology,Computer Software: Prepackaged Software
BMA,4779,Finance,Commercial Banks
BME,600,Finance,Trusts Except Educational Religious and Charitable
BMI,3874,Industrials,Industrial Machinery/Components
BMM,590,,
BMRC,452,Finance,Major Banks
BNED,379,Consumer Discretionary,Other Specialty Stores
BNL,3610,Real Estate,Real Estate Investment Trusts
BNTC,367,Health Care,Biotechnology: Pharmaceutical Preparations
BOBS,1807,Consumer Discretionary,Other Specialty Stores
BOC,401,Finance,Real Estate
BOH,2791,Finance,Major Banks
BOKF,7939,Finance,Major Banks
BOOT,3773,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BORR,1354,Energy,Oil & Gas Production
BOW,1115,Finance,Property-Casualty Insurers
BOX,4485,Technology,Computer Software: Prepackaged Software
BPOPM,1603,Finance,Major Banks
BRAI,1139,Technology,EDP Services
BRBI,564,Finance,Finance: Consumer Services
BRBR,1017,Consumer Staples,Packaged Foods
BRBS,347,Finance,Major Banks
BRC,3934,Consumer Discretionary,Miscellaneous manufacturing industries
BRCB,349,Consumer Discretionary,Restaurants
BRKR,9363,Industrials,Biotechnology: Laboratory Analytical Instruments
BROS,6594,Consumer Discretionary,Restaurants
BRSL,1866,Consumer Discretionary,Services-Misc. Amusement & Recreation
BRSP,529,Real Estate,Real Estate Investment Trusts
BRUN,1292,Technology,EDP Services
BRVE,2138,Health Care,Biotechnology: Pharmaceutical Preparations
BRX,8517,Real Estate,Real Estate Investment Trusts
BRZE,2910,Technology,Computer Software: Prepackaged Software
BSM,3165,Energy,Oil & Gas Production
BSRR,517,Finance,Major Banks
BST,1095,Finance,Finance Companies
BSTZ,662,Finance,Trusts Except Educational Religious and Charitable
BSVN,533,Finance,Major Banks
BSY,9637,Technology,Computer Software: Prepackaged Software
BTDR,3439,Finance,Finance: Consumer Services
BTE,3264,Energy,Oil & Gas Production
BTG,7061,Basic Materials,Precious Metals
BTGO,973,Finance,Finance: Consumer Services
BTU,3239,Energy,Coal Mining
BTX,2127,,
BTZ,1029,Finance,Finance/Investors Services
BULL,4248,Finance,Investment Bankers/Brokers/Service
BUR,873,Finance,Finance: Consumer Services
BUSE,2482,Finance,Major Banks
BUSEP,2155,Finance,Major Banks
BUUU,856,Consumer Discretionary,Services-Misc. Amusement & Recreation
BV,973,Consumer Staples,Farming/Seeds/Milling
BVC,2209,Finance,Investment Managers
BVN,8388,Basic Materials,Metal Mining
BVS,1125,Health Care,Medical/Dental Instruments
BW,1029,Industrials,Building Products
BWAY,550,Health Care,Medical/Dental Instruments
BWB,576,Finance,Major Banks
BWBBP,548,Finance,Major Banks
BWFG,523,Finance,Major Banks
BWIN,4455,Finance,Specialty Insurers
BWLP,3861,Consumer Discretionary,Transportation Services
BWMN,738,Consumer Discretionary,Professional Services
BWMX,657,Consumer Discretionary,Catalog/Specialty Distribution
BXBL,1002,Consumer Discretionary,Homebuilding
BXC,630,Consumer Discretionary,Wholesale Distributors
BXDC,1940,Finance,Real Estate
BXMT,2174,Real Estate,Real Estate Investment Trusts
BY,1671,Finance,Major Banks
BYD,5194,Consumer Discretionary,Hotels/Resorts
BZ,6667,Technology,Computer Software: Programming Data Processing
BZH,890,Consumer Discretionary,Homebuilding
CAAP,3939,Consumer Discretionary,Aerospace
CAC,961,Finance,Major Banks
CACC,5741,Finance,Finance: Consumer Services
CADL,903,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAE,7935,Miscellaneous,Industrial Machinery/Components
CAG,6978,Consumer Staples,Packaged Foods
CAI,9153,Health Care,Medical Specialities
CAKE,5145,Consumer Discretionary,Restaurants
CAL,422,Consumer Discretionary,Shoe Manufacturing
CALM,3408,Consumer Staples,Farming/Seeds/Milling
CALX,2204,Consumer Discretionary,Telecommunications Equipment
CALY,2578,Consumer Discretionary,Recreational Games/Products/Toys
CAMT,6711,Technology,Electronic Components
CAPL,841,Energy,Oil Refining/Marketing
CAPR,536,Health Care,Biotechnology: Pharmaceutical Preparations
CAR,3806,Consumer Discretionary,Rental/Leasing Companies
CARE,668,Finance,Major Banks
CARG,2716,Technology,EDP Services
CARL,413,Health Care,Medical/Dental Instruments
CARS,551,Technology,EDP Services
CART,9829,Consumer Discretionary,Business Services
CASH,1540,Finance,Major Banks
CASS,694,Consumer Discretionary,Business Services
CATY,4060,Finance,Major Banks
CAVA,6090,Consumer Discretionary,Restaurants
CBAN,442,Finance,Major Banks
CBC,7632,Finance,Major Banks
CBIO,579,Health Care,Biotechnology: Pharmaceutical Preparations
CBK,438,Finance,Major Banks
CBL,1640,Real Estate,Real Estate Investment Trusts
CBLL,926,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CBNA,311,Finance,Major Banks
CBNK,579,Finance,Major Banks
CBRL,1036,Consumer Discretionary,Restaurants
CBSH,8009,Finance,Major Banks
CBT,4072,Industrials,Major Chemicals
CBU,3205,Finance,Major Banks
CBZ,2967,Consumer Discretionary,Business Services
CC,2230,Industrials,Major Chemicals
CCAP,356,Finance,Finance: Consumer Services
CCB,679,Finance,Major Banks
CCBG,849,Finance,Major Banks
CCC,3873,Technology,Computer Software: Prepackaged Software
CCCC,404,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCEC,1311,Consumer Discretionary,Marine Transportation
CCNE,992,Finance,Major Banks
CCNEP,739,Finance,Major Banks
CCOI,451,Consumer Discretionary,Telecommunications Equipment
CCS,1796,Consumer Discretionary,Homebuilding
CCSI,658,Technology,Computer Software: Prepackaged Software
CCU,2056,Consumer Staples,Beverages (Production/Distribution)
CD,480,Finance,Finance: Consumer Services
CDLR,2397,Consumer Discretionary,Marine Transportation
CDNA,2926,Health Care,Medical Specialities
CDNL,1395,Industrials,Military/Government/Technical
CDP,3865,Real Estate,Real Estate Investment Trusts
CDRE,1130,Health Care,Industrial Specialties
CDRO,421,Consumer Discretionary,Services-Misc. Amusement & Recreation
CDZI,307,Utilities,Water Supply
CDZIP,1842,Utilities,Water Supply
CE,5314,Industrials,Major Chemicals
CECO,4252,Industrials,Pollution Control Equipment
CELC,4012,Health Care,Medical Specialities
CELH,7276,Consumer Staples,Beverages (Production/Distribution)
CENT,2492,Consumer Discretionary,Consumer Specialties
CENTA,2154,Consumer Discretionary,Consumer Specialties
CENX,3842,Industrials,Aluminum
CEPU,2050,Utilities,Electric Utilities: Central
CERT,1381,Technology,Computer Software: Prepackaged Software
CEVA,939,Technology,Computer Software: Programming Data Processing
CFFI,305,Finance,Major Banks
CFFN,1107,Finance,Savings Institutions
CFR,9710,Finance,Major Banks
CGABL,5690,Finance,Investment Managers
CGAU,4509,Basic Materials,Precious Metals
CGBD,779,Finance,Finance: Consumer Services
CGEM,1328,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNT,647,Technology,Computer Software: Prepackaged Software
CGNX,9816,Industrials,Industrial Machinery/Components
CGON,6834,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHA,2209,Consumer Discretionary,Restaurants
CHCO,1967,Finance,Major Banks
CHCT,408,Real Estate,Real Estate Investment Trusts
CHDN,5487,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,6527,Health Care,Medical/Nursing Services
CHEF,4431,Consumer Discretionary,Food Distributors
CHH,4559,Consumer Discretionary,Hotels/Resorts
CHMG,394,Finance,Major Banks
CHRD,7552,Energy,Oil & Gas Production
CHRN,3131,Industrials,Industrial Machinery/Components
CHSCL,308,Industrials,Farming/Seeds/Milling
CHSCN,305,Industrials,Farming/Seeds/Milling
CHSCO,314,Industrials,Farming/Seeds/Milling
CHSCP,319,Industrials,Farming/Seeds/Milling
CHTRP,2632,Telecommunications,Cable & Other Pay Television Services
CHWY,7613,Consumer Discretionary,Catalog/Specialty Distribution
CIFR,7910,Finance,Finance: Consumer Services
CIGI,4707,Finance,Real Estate
CII,3622,Finance,Investment Bankers/Brokers/Service
CIM,920,Real Estate,Real Estate Investment Trusts
CIMN,2025,Real Estate,Real Estate Investment Trusts
CINT,392,Technology,EDP Services
CION,354,Finance,Finance/Investors Services
CIVB,560,Finance,Major Banks
CIX,474,Consumer Discretionary,Industrial Machinery/Components
CLB,497,Energy,Oilfield Services/Equipment
CLBK,1179,Finance,Savings Institutions
CLBT,2926,Technology,Computer Software: Prepackaged Software
CLDT,612,Real Estate,Real Estate Investment Trusts
CLDX,2543,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLF,7172,Basic Materials,Metal Mining
CLFD,424,Utilities,Telecommunications Equipment
CLMB,559,Technology,Retail: Computer Software & Peripheral Equipment
CLMT,4875,Energy,Integrated oil Companies
CLOV,2380,Health Care,Medical Specialities
CLPT,467,Health Care,Medical/Dental Instruments
CLSK,3842,Finance,Finance: Consumer Services
CLW,346,Basic Materials,Paper
CLYM,795,Health Care,Biotechnology: Pharmaceutical Preparations
CMBT,6027,Consumer Discretionary,Marine Transportation
CMC,7097,Industrials,Steel/Iron Ore
CMCL,461,Basic Materials,Precious Metals
CMCO,463,Industrials,Construction/Ag Equipment/Trucks
CMDB,547,Consumer Discretionary,Marine Transportation
CMP,981,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMPR,1896,Consumer Discretionary,Publishing
CMPS,2013,Health Care,Biotechnology: Pharmaceutical Preparations
CMRE,1769,Consumer Discretionary,Marine Transportation
CMSA,5839,Utilities,Power Generation
CMSC,6154,Utilities,Power Generation
CMSD,6127,Utilities,Power Generation
CNK,4154,Consumer Discretionary,Movies/Entertainment
CNL,1212,,
CNM,8184,Consumer Discretionary,Durable Goods
